AuthorId,PaperIds
55,311565 360533 368324 415449 627473 674836 855331 889545 1003588 1246558 1807352 68389 191340 341916 391076 529078 567439 605718 609556 1006063 1068666 1182092 1311582 1420910 1629211 1958000 2160386 283152 649131 1200417 2242701 285210 847068 2149929 501918 998325 1113127 538215 2145125 1717868 2253161 1169763 640178 803603 949475 151248 375494 1263351 1598529 1561133 2047193 1404308 293806 520682 652442 852486 1426341 144775 732607 478547 1791611 153324 400429 1258087 1634096 166298 360278 590824 778747 842748 1309499 1503337 185529 427328 479932 749124 787670 933473 1567825 2172928 1087938 167677 222469 1111248 1306853 1516256 2069862 2188967 2239313 847721 1134037 145200 580095 507841 885156 569149 138408 164850 716659 778260 838147 1147447 1162408 1842680 2060463 75169 402085 767668 878853 1131277 1254356 1598603 1692285 2088058 2233795 599636 577846 600193 1247571 1609130 1874629 380270 849805 1208855 1743955 2235159 569738 618099 878611 947880 1315501 1627327 1114808 178422 330142 561429 1318932 1495079 1935912 563378 636227 1892017 2067435 24074 40294 42966 55193 75356 82669 109868 128962 217562 243218 275203 282173 341809 367455 389256 393613 400432 415677 433440 548812 602590 666181 701621 707333 739353 742557 761011 768943 782195 791391 809176 836220 836932 844326 869430 873533 914441 916062 951610 1017616 1028676 1030869 1038114 1127766 1149308 1175552 1221789 1246911 1253687 1265959 1279252 1292671 1330500 1333822 1334503 1334565 1341262 1347683 1358761 1358815 1389913 1401976 1402396 1406810 1412697 1432571 1453295 1475480 1480374 1487068 1503094 1505207 1513936 1514435 1521193 1600372 1645597 1671418 1686687 1704638 1728999 1767867 1805568 1842828 1845348 1868160 1914211 1923712 1996769 2020050 2020967 2052277 2097673 2116002 2130152 2133149 2135162 2169279 2172944 2188615 2227977 2239080 294906 462613 836602 862499 1315957 1613009 1639193 1782482 857434 607208 645843 837051 1846507 1964990 2219269 1844943 122970 1226103 1232116 1963658 1709669 179163 348351 1291570 1394715 1779715 1231449 640883 530550 82789 411010 1230662 1267968 1572902 2014129 2078331 375645 1473948 1596644 1705250 1715897 224005 337774 1065523 1130940 1390814 1575412 2061699 2139275 1131748 47028 589720 1488589 1268197 2031585 2144025 419865 1040990 1314361 1421288 1470552 1674347 1704151 1665586 824805 434255 601175 794747 1412366 1689507 2033860 2092511 157653 269210 1690254 1536069 1917226 819589 883792 1299922 341776 20444 85184 327786 397455 417586 1224720 1281589 1696592 1822770 2001305 2160850 2203516 2248734 313273 493921 1338645 69178 396571 600343 1236357 1647435 15471 50011 427091 1287246 1303769 2170187 2209422 374924 446774 651888 1754410 1809054 1971149 1993390 2054919 2232203 25103 36459 129165 188583 441364 596639 662811 839470 860343 991821 1002385 1129545 1224097 1234065 1235117 1355338 1441833 1484358 1619343 1740617 1796849 1813933 1978555 2050391 2107137 2152937 228600 299391 322106 423069 518886 590988 617344 690310 744480 762178 913529 944768 965304 1039736 1044866 1318181 1417252 1425243 1464112 1481605 1559958 1639061 1659666 1691264 1792050 1819740 2182966 2187821 1376095 413987 424703 369796 533875 810900 1545364 1637203 2228319 717808 800859 1124696 1296398 2223355 19294 178497 222631 391835 443903 783611 1328475 1368392 1614166 1638417 77268 156007 160532 197854 258012 300323 429669 433613 520007 542459 566388 583593 605597 733374 733638 753581 801725 810770 816840 821861 824229 869813 1051041 1058628 1095626 1117699 1170435 1183554 1212786 1309753 1336245 1369596 1384633 1389430 1392908 1618867 1845523 1871885 1874507 1909176 1930652 1953648 1961041 1976657 1998820 2010142 2069581 2140444 2189241 649955 312517 571156 860367 981085 1705023 366499 2243047 136767 633416 686632 973193 1283236 1330055 1360578 2126038 2507 68780 110515 251879 434161 464497 493623 494493 500411 529900 657724 757830 787171 823685 847749 861633 1157610 1200622 1268918 1272277 1348168 1409438 1457884 1507925 1561911 1564558 1588620 1883848 1988643 2213984 102768 139335 161497 169774 178136 241121 250051 264821 267444 292208 317855 327692 372836 401485 418934 449667 452096 468963 491228 511272 545233 655318 671895 683325 697076 801400 898876 1051834 1079496 1106983 1120846 1165889 1173588 1218501 1231847 1258466 1290673 1324071 1340284 1350211 1374577 1562350 1587177 1604996 1617887 1618919 1647084 1693618 1762246 1768979 1886009 1973900 2001206 2006004 2086146 2089307 2101279 2139295 2148216 2254072 1153819 2228219 248390 2043565 1605108 720336 766130 1611534 2025947 1493998 2238930 138526 209987 295041 372043 372994 441057 515706 558232 1081944 1204075 1213444 1321344 1471568 1477509 1490929 1669282 1737538 1912963 1988335 2185666 2221713 25304 52775 95899 108616 362297 440944 443598 487867 616823 629576 685489 699144 745317 747730 787757 805860 812510 867779 918326 919007 939887 1000445 1012283 1032043 1034482 1057692 1058984 1079484 1088098 1166498 1275261 1294041 1373323 1482854 1501821 1537119 1598298 1709794 1748110 1905878 1974662 2071330 2100017 2161270 2169998 2188174
426,1755057 1886966 1620205 212235 762357 1513874 1591324 2114604 92584 703799 1397733 1220376 1715768 1743931 1525094 733468 1619181 873 885676 174625 1474160 841427 1896437 1522781 1506113 1309402 37257 284639 581263 643226 1020664 1200538 1738852 2131795 1425521 608753
1861,59550 282043 1059590 1818633 1048827 528639 922192 124595
10212,49767 1155164 1495359 1576383 1763581 414184 2017320 1114250 1830188 173546 1888199 1723109 275419 2148031 1907454 2108310 290814 681072 719916 1753895 213826 199989 824163 711071 1274721 1409670 656535 694244 195044 551557 736670 1279152 792369 1443210 509790 24013 131299
10275,300441 876311 368138 389312 2029275 995222 871240 1979860 358576 2161376 2192149
11496,310992 382531 395701 220745 1762778 248838 511060 973637 1202424 1492999 1272569 1872494 1743639 1104541 1885728
18188,1596936 389381 661470 1792343 580096 1545848 1625524 1908236 913351 197565 2235164 837759 517152 1835169 2085225 804483 157235 573569 1940154 552709 1478315 813760 909867 1161740 1370016 2045142 2166077 2179721 1572736 241280 710443 735641 888761 925232 932834 1094311 1107957 1932598 1957616 2174825 201934 474495 137079 1794090 1667384 1221739 1678146 139332 763814 986581 1449121 2143863
24084,540977 798065 855848 1231769 1265218 1295125 2088513 2109321 508776 921770 1255955 1293911 1382971 1921831 333881 83119 1189579 1019835 878697 1956573 985112 1016070 1738102 1627503 709938 755602 1995821 742130 1125171 577751 881167 1884939 159070 1001700 1036778 1033339 740629 1631641 948819 1869397 885251 264073 2110768 485673 1373575 387864 682071
24742,1027260 2044666 1048305 1913487 93774 1913043 554197 418161 130342 1479666 2089832 415681 51173 2169048 1781937 1983432 306589 368006 1878416 1212339 1208535 1245729 2096774 16442 71659 721790 1252386 1401091 2254334
25416,811814 812580 866186 1818437 1919301 1966318 2185606 232439 329902 374185 605987 1360551 1687437 814588 1462076 12388 93999 169683 181977 284666 305286 930472 1400136 1485594 1610714 1614447 1797025 1895909 2134084 2138119 2160345 670347 2247877 1610983 1622407 1474602 892088 1227405 2001332 1451082 12812 460139 757899 869152 941767 1076709 1168453 1447022 1587465 1828331 1416605 1503965 1099694 1854342 790443 686511 813039 84140 1370261 1613422 61971 742067 1196882 1596121 1847725 2225397 1577492 519560 558147 867114 2192042 927390 1237729 1067880 1676941 424415 1825773 1826301 360572 1104862 680237
